id;full_name;dob;address;phone;id_number;kyc_status;created_at
1;electrify;2025-07-03;scaffold;947-894-5874 x8839;fuel among voluminous;PENDING;2025-07-03T03:36:54
2;luck with;2025-07-02;wherever cruelty meadow;(840) 620-8164 x40827;neglect self-reliant brr;VERIFIED;2025-07-03T10:14:14
3;off enchanting;2025-07-03;wherever;(853) 866-4608 x92779;retool;PENDING;2025-07-02T23:51:08
4;knotty gosh baptise;2025-07-03;as;1-382-286-4332 x2763;excepting lined;REJECTED;2025-07-02T15:24:07
5;mid;2025-07-03;slide nor deform;769-668-0576;supposing;VERIFIED;2025-07-02T12:06:10
6;gee;2025-07-02;although when tabulate;(720) 653-2335 x5823;tenderly;PENDING;2025-07-02T20:42:01
7;hungrily amid;2025-07-03;mad pish quizzically;1-785-687-8799;black stormy;VERIFIED;2025-07-02T13:28:49
8;yearly;2025-07-02;vacantly or pish;1-250-654-2988 x52514;plus corporation;PENDING;2025-07-02T17:13:51
9;corrupt round;2025-07-02;unusual pinstripe;332-381-9799 x585;whoever;REJECTED;2025-07-03T10:44:31
10;ugh;2025-07-02;ack yum;942-299-6150 x81140;eek frantically;PENDING;2025-07-03T11:20:00
